"review_title","review_verbatim","role","status","location","date","rating"
"great place and people","best people very nice and fun to work with and to work for,they cared about you and the work that they did. they would go out of their way to do extra for those that needed it. every customer was treated with respect.","Universal Branch Consultant","Current Employee","Lewis Center, OH","November 16, 2015","2.0"
"extremely low pay, horrible managment,no advancement for ""minorities""","The company does not pay a living wage ( check Salaries for yourself  before applying) . Lots of hard work for not much compensation. Company promoted an unqualified minority to keep from having an all white management staff . Not a good company for minorities especially African Americans.","Operations Analyst","Former Employee","Pittsburgh, PA","November 14, 2015","2.0"
"super","its very nice to work there ,i got chance to learn so much.got to work with so wonderful people.super management,project was so exciting and challenging.","Sr QA Analyst","Current Employee","Atlanta, GA","November 14, 2015","5.0"
"Bank Teller","Bank Teller, I liked working with the numbers, my co-workers were nice to work with,  but  the sales part of the job was not for me. I prefer a more active job.","Bank Teller","Former Employee","Camp Hill, Pa","November 14, 2015","3.0"
"Outstanding reputation for products and services. Wonderful, hardworking, and experienced technology and business departments","Management and staff are dedicated to providing technology solutions to external customers, to our internal business teams, and to our operations team. All of these internal areas are also devoted to excellence for our customers.   We, in the systems development area,   have a very cooperative environment among other our partner teams in technology infrastructure, application development, product management and operations. This partnership  enables us to deliver  products and services with robust features and high availability  to millions of customers.","Senior Systems DIrector","Former Employee","Pittsburgh, PA","November 13, 2015","5.0"
"Great place to work","I have had a long career with PNC, they treat you fairly and work hard to help you advance. they focus on engaging the employees","Business Acceptance Tester","Current Employee","Downers Grove, IL","November 12, 2015","5.0"
"Employees knowledgable and experienced","Independent consultant
Work was out of town 100%
Greatly enjoyed and respect coworkers
The hardest part of the job was starting a major clean up project
The most enjoyable part of the job was seeing the benefits of completing the cleanup project","Engaged as a consultant","Former Employee","Cleveland, OH","November 11, 2015","4.0"
"Best Company","Worked here for 4 years. Management and company as a whole cared about their employees. Growth opportunities available. Had to leave because I moved. Wish I had not done that.","Teller Supervisor","Former Employee","Woodbridge, VA","November 11, 2015","5.0"
"Productive and informative","Provided a good learning experience, and opportunity to grow. It was fun and great. I had the opportunity to issue advisement on legal issues.","Administrative Trust Officer","Former Employee","Pittsburgh, PA","November 11, 2015","4.0"
"Sr. Mortgage Processor","You the closers job and LO's job. You are not compensated for your hard work. THIS IS NOT THE PLACE YOU DREAM TO WORK FOR. Management does not know their right shoulder from their left. With TRID being implemented due to government regulations it makes it hard to get accurate policies and information.","Senior Mortgage Processor","Current Employee","Jacksonville, FL","November 11, 2015","1.0"
"good place to work","good benefit, good place of employment. lots of opportunity to grow. backup to team leader, trained co-worker and new hires","Senior Loan Support Specialist","Current Employee","Philadelphia, PA","November 10, 2015","5.0"
"Fun Job. Great experience","The job is great. Working In-store is much better than working in a traditional branch. My coworkers are amazing. The  hardest part of the job is dealing with angry customers.. and sometimes having to meet your goals.","Financial Consultant","Current Employee","Somerset, NJ","November 10, 2015","3.0"
"Great people and culture. Excellent work/life balance.","Training, communication and support were beyond expectations during a challenging acquisition.Corporate banking development program. Training provided. Promotion depending on the team, market, business environment. Best opportunity is in the Midwest.","Teller","Former Employee","Columbus, OH","November 10, 2015","4.0"
"Very professional","I am not leaving PNC Bank for any negative reasons, they have displaced about 50 employees telling us it is a business decision. Overall a good place to work.","Loan Support Specialist","Current Employee","Rocky Mount, NC","November 10, 2015","3.0"
"Productive and a nice working environment","I really enjoyed working with PNC, the coworkers I had turned into great friends and the work environment was fun and healthy. During the time I was with them my husband was deployed and everyone was very kind. I really enjoyed my customers and our conversations with them.","Teller","Former Employee","Frederick, MD","November 10, 2015","4.0"
"Not Stable, Very Stressful","After 6 months of working at PNC, I had to place my two weeks notice. The job itself was extremely stressful. Management was poor. Everyone was close bc of previous work history . Things happen so if you didn't meet management goals they didn't pay any attention to you. However, if you met and exceeded one month, you were fine. I've never worked for a company that doesn't believe in paying they employees. Even part timers were ONLY GUARANTEED 28 hours. Nothing more, nothing less. I was never given an actual schedule. My schedule were either called or texted to me the morning of.","Customer Service","Former Employee","Montgomery, AL","November 9, 2015","2.0"
"Great Company","Really pushes for success, Great company to work for job experience. If you have trouble there is a call center that helps you do your job. You take classes while at work to learn the company product and banking rules and regulations.","Customer Service Associate","Former Employee","Indianapolis, IN","November 9, 2015","5.0"
"Productive workplace with daily goals.","Good place to work. Excellent management, willing to mold their team members to be great! Very basic customer service position.","Financial Services Consultant","Former Employee","Pittsburgh, PA","November 9, 2015","4.0"
"Great company","Productive fast growing company. They acknowledge your hard work, including employee appreciation week.
 I enjoyed my time within the company great, colleagues.","Default Specialist II","Former Employee","Rocky Mount, NC","November 8, 2015","4.0"
"enjoyable work environment","PNC is a well managed company to work for with great room for advancement throughout the widely known financial institute.","Teller","Current Employee","Thornville, OH","November 8, 2015","4.0"
"Productive, professional, fun workplace with great incentives","Fun work place with supportive management
Not all about the numbers, but how you personally grow and develop
Efficient amount of red tape and politics, but it comes with the territory.  The most enjoyable part of the job was working along side positive, upbeat, and helpful individuals in every position. The hardest part of the job was dealing with difficult consumers without seeming contradictory. A typical work day there would be taking calls of course, attending necessary daily meetings, acknowledging and applauding employee achievements,and implementing ideas to enhance customer experience.","Financial Services Consultant Tier II","Former Employee","Pittsburgh, PA","November 7, 2015","5.0"
"Fast Pace Teller","First day at work and Im already into a fast pace environment. I love the people and the how the company takes cares each other.","Bank Teller","Former Employee","Philadelphia, PA","November 6, 2015","5.0"
"Obsolete Managers","There are no leaders or mentors in my region, managers are very lazy and have personal relationships outside of work. 
 The hardest part of the job is dealing with management who rely on low wage employees to meet goals and oversee branch operations.","Financial Sales Consultant II","Current Employee","New Jersey","November 6, 2015","2.0"
"Great benefits, low pay grade","PNC is a fantastic place to work, there is a lot of room to grow and improve in your role. The benefits and home life are amazing however there is a high volume of turn over and excessive rulechanges. overall it is a great place to but youve got to be able to handle a lot of change and low pay.","FSC","Current Employee","North Carolina","November 5, 2015","3.0"
"You build a relationship with your customers.","You get to meet really cool people. It's a challenging job in committing to your goals. You get to learn a lot from specific roles if you are willing to learn.","Teller","Current Employee","Chicago, IL","November 4, 2015","4.0"
"Teller Rep","Worked as a travelling teller in the North Region.  I got the opportunity to see many different branches and develop an understanding of how retail banking works and how each branch finds a way to adapt to their surrounding community.  
 I really enjoy the company and would recommend them to anyone as far as my experience goes.","Teller Representative","Former Employee","Pittsburgh, PA","November 4, 2015","5.0"
"Great Culture.","PNC has done a great job creating an team based workplace. Employees are provided with training to further their knowledge of bank practices. Enjoyed my time with PNC. Opportunities for advancement are readily available.","Customer Service Associate","Former Employee","Wilkes","Barre, PA","4.0"
"Good place to work","Enjoyed the wins in sales.  Spoke to corporate financial directors to explain the process of accepting purchasing cards for payments.  Enjoyed interacting with company representatives gaining trust and accomplishing sales goals.","customer service","Former Employee","Pittsburgh, PA","November 4, 2015","2.0"
"Management","Management is not very good there.  They think the answer to everything is more conference calls and they like to fee customers to death.","PNC Private Client Group Relationship Manager","Former Employee","Upper Arlington, OH","November 3, 2015","2.0"
"Building a brand new book from ""ground zero""","The most enjoyable part of my job is working with my co-workers and accomplishing our goals each week.  I also enjoy my clients.  I take great pleasure in customer service and keep my clientele very satisfied.  I meet my goals not only quarterly, but annually.  Management has a tremendous amount of red tape and politics!","Banking Advisor II","Current Employee","Norfolk, VA","November 3, 2015","3.0"
"an ok place to work.","PNC Bank is a great place to work, but the universal banker role should have more training. I think, if it were more hands on and interactive, that would help too. Overall it's an ok bank to work for.","Universal Banker","Current Employee","Charlotte, NC","November 2, 2015","2.0"
"Relaxed and Employee and Customer Focused","PNC is a great company to work for, they offer job advancement and strived to keep the balance of customer service for the clients and employee work life balance","SPOC III","Former Employee","Miamisburg, OH","November 2, 2015","5.0"
"Eh, not too shabby","Not a bad place to work. But they are definitely very parsimonious in comparison to other banks. High expectations for very low pay.","Financial Sales Consultant","Current Employee","Bloomfield, NJ","November 1, 2015","5.0"
"Solid Company but lacking in advancement opportunities","A typical day for me consists of early morning conference calls followed by outside sales activation. Everyday my work location varies based on events scheduled for the week. I've learned how to juggle personal sales goals and management of a sales force including relationship building within a large market. Management doesn't seemed to be aligned with customer facing employees throughout the market which is a key factor in me seeking new employment. There is a very high turnover of employees in the company which makes it difficult to establish best practices that lead to positive results. The hardest pat of my job is having to deal with so many different personalities without any real support from my direct management. Philadelphia is the largest market in the company and I'm equipped with a team of four to meet the demands of such a large network. The best part of my job is that I am not tied down to any office as I am part of a mobile team. I love the freedom to create my own schedule and the opportunity to travel and experience different types of events.","Experiential Sales Manager","Current Employee","Philadelphia, PA","November 1, 2015","3.0"
"Too far from Parent company","I worked for PNC for a short time, but because they don't have a local presence it felt like we were out on an island. Othewise very typical bank experience.","Loan Officer","Former Employee","West Linn, OR","October 30, 2015","3.0"
"My first job","It was very nice place to work in .This was place where i started my career as QA tester and i learned most of my skills .Other team member were very nice to help me and teach me real world working rules.","QA Tester","Former Employee","Indianapolis, IN","October 30, 2015","4.0"
"lead a team in the financial industry","rally a team to find opportunity in existing clients financial needs
work with small business bankers to identify and create banking relationsips","Financial Sales Consultant","Former Employee","Toms River, NJ","October 29, 2015","3.0"
"Professional work environment","Very supportive management. Training for the job is adequate. Supportive team mates and business partners, Large sales territory, a lot of travel.","Business Development Officer","Current Employee","Pittsburgh, PA","October 29, 2015","5.0"
"Productive, but slow work environment","As a previous employee of PNC Bank I would like to thank PNC Bank for the opportunity within their company. Saying I learned a lot would be an understatement. PNC Bank kept me constantly growing as an individual in my work environment. Managers with outstanding leadership skills aided me throughout my PNC journey. It definitely enhanced my verbal and communication skills.","Financial Sales Consultant","Former Employee","Franklin Farms, VA","October 29, 2015","4.0"
"Fun place, they had a lot to offer. 1 hour breaks too","This was a great place to work at, however you would have to jump through hoops getting software you needed. The bad thing about PNC was that I had to frequently travel to Pittsburgh.","UI Software Engineer","Former Employee","Strongsville, OH","October 27, 2015","4.0"
"Productive place to work for","productive place to work for. Very fun and diversified . work and life balance. your feedback is always appreciated .fast pace and fun to work for","Financial Sales Consultant","Current Employee","Reynoldsburg, OH","October 27, 2015","5.0"
"Great benefits, but unsure if it can hold up the remaining mess...","PNC is not a bad company to work for. The benefits are, in fact, rather exceptional, with health, vision, dental, and even a 401(k) plan matching at 4%. A lot of times, however, it does appear that upper management seems to be running in circles. I work in the branch in downtown Mechanicsburg where our regional manager's office resides, so you'd think they'd have a more keen sense on what's going on - they don't. Our regional manager is up a flight of stairs no more than 10 steps, and he JUST learned my name a few weeks ago - I got hired in February and it's now the end of October.
 When it comes to the sales side of things, it's not difficult to make goals. You do get a nice compensation depending on what job position you take. If you're in it for a bit of ""commission"" then you're better off going for a Financial Sales Consultant role and should steer clear of a Teller or Customer Service Associate. Depending on how many accounts you open, credit cards you sell, loans you apply for, or even referrals you submit, you'll earn $6. You could spend 10 minutes opening an account for $6, where at the same time you could apply for a loan, have to keep an eye on it for weeks, keep in contact with them and up to date about it, and set yourself reminders to continuously observe the status of it and ultimately set up an appointment for a loan closing (sometimes months later). How much do you get for that? $6 (that's if you're a customer service associate - financial sales consultant works a bit differently). The nice thing, however, is that if you refer a customer to Investments and - more...","Customer Service Associate","Current Employee","Mechanicsburg, PA","October 26, 2015","3.0"
"Mortgage","Worked closely with the business consultant, learned pivot tabels, v look up, managed complex calendars, approve expense reports, check requests, purchase orders","Senior Executive Assistant","Former Employee","Bellevue, WA","October 26, 2015","3.0"
"Very unstable place of business for a trained PM","It is difficult to put into words how much change the organization is undertaking around project management. There are levels that are very committed to an agile form of project management while the underlying management takes that with a grain of salt and proceeds to move forward with their own ideology and process. There is a great deal of dysfunction in this organization that would lead one to believe that it is impossible to predict how a career would go, let alone the first year of employment.  As a former military member it is easy to see from a team perspective that this is a recipe for disaster. And, if you cannot move ahead with positive influence it is best to remove yourself from the line of fire. And, that is what I am doing.","Technology Project Manager","Current Employee","Pittsburgh, PA","October 26, 2015","3.0"
"Bad location, no foot traffic","Would have enjoyed it better if it had been busier.  I had a wonderful manager who cared about his employees. Loved my customers","Customer Service Associate","Former Employee","Southport, NC","October 26, 2015","4.0"
"Under payed, Over worked","Ask to do too much in too little, minimums are difficult to reach. Ask to service walk-ins, do follow ups for existing clients on top of making 140 calls a week.","Financial Sales Consultant","Current Employee","Mechanicsburg, PA","October 25, 2015","2.0"
"Fun and productive work place.","Fun work place with supportive management. Not all about the numbers but how you personally grow and develop. The most enjoyable part of the job was working alongside my colleagues and learning from them.","Retail Banking Teller","Former Employee","Bloomsburg, PA","October 24, 2015","5.0"
"great place to advance and grow","Great place to work especially if you are looking to be somewhere and grow in your career or just grow in knowledge. The customer relationship is what makes this job most fun and rewarding.","UNIVERSAL BANKER","Former Employee","peoria, il","October 23, 2015","5.0"
"Fun place to work but the work life balance was poor","The culture within the store was fun and challenging.  My colleagues were all friendly and helpful.  The upper management seemed to contradict their own directives making it hard for store management to react and be as productive as they would like.  The store was also overstocked with merchandise making it hard for customers to shop.  The quality of the merchandise was very good.  The department managers were all dedicated people that were willing to help one another.","Assistant Branch Manager","Former Employee","Pittsburgh, PA","October 23, 2015","3.0"
"the pros and cons of banking with PNC BANK","Working at PNC BANK was sales driven I was always busy with clients, phone calls, and other responsibilities. My in branch management team was a great team we all pitched in to make it a great day. I really enjoyed the close relationships built with customers and putting a smile on their face.","Financial Sales Consultant","Former Employee","Pikesville, MD","October 23, 2015","4.0"
"Customer Service","This job is a lot of customer service. Its usually a very busy day. The co-workers are very nice and management is very helpful. The hardest part of the job is the miserable customers. The most enjoyable part is your day goes by fast.","Bank Teller","Former Employee","Pittsburgh, Pa","October 22, 2015","3.0"
"Universal Banker Position","Workplace is easy going and fast paced. Co-workers are very team oriented. No room for growth or raises and bonus's are minimal.","Universal Banker","Current Employee","Collinsville, IL","October 22, 2015","5.0"
"Loved the best job place and people.","The co-workers were the best I ever had, manager was amazing was always on time and would never leave us hanging with any job that needs it to be done, he would always answer his phone even is he was on vacation we needed to contact him for overwritting checks over 100k. We all became very good friends and on Fridays I used to cook to all my co-workers we either had dinner at my place or their place. Best people I've worked with.","None","None","store Financial Consultant (Former Employee)","Arlington, VA","5.0"
"Best job/career","Wonderful work environment, nice manangers/coworkers, good benefits for even part-time, most enjoyable part of the job is getting to help customers","Core Service Consultant","Current Employee","Kalamazoo, MI","October 21, 2015","5.0"
"productive and fun work environment","Very enjoyable work environment. Emphasis on employee development, cohesive work environment between managerial staff and all employees in every work environment.","Senior Loan Support Specialist 2","Former Employee","Brecksville, Ohio","October 21, 2015","5.0"
"You Are Just A Number and Customer Service is Awful. Stressful and Low Pay","This company has changed a lot in the last few years. They are getting rid of workers all of the time. You are just a number hence why job security is one star. One mistake and you are gone. 6 months ago i went from sitting in a room of tellers and now sit in a room of new tellers. They fired a woman who has worked here 30 years because of one mistake. Took benefits away from her 6 months before retirement! Training is a month long and worthless. You are told to sell to people no matter the situation, if the teller line is full of people you still have to tell a person in a hurry to leave, if they would like a credit card it's B.S. and to top it off they are always understaffed so if someone wants a credit card they have to make an appointment to see a banker a few days later! you get 6 dollars for referrals. They also have customer survey scores and you and the rest of the team get bonuses when the group scored highly BUT you need a 4.8 score out of 5 which is impossible because so many customers come in angry because we have new people working every week and we are always understaffed. If you want to work at a bank don't work for this one especially if you're just starting out, you make 9-10 dollars an hour to be way too stressed out because of sales, making customers happy in an environment that is impossible to do so, and being worried you wont have a job tomorrow.","Customer Representative","Current Employee","Rockford IL","October 20, 2015","2.0"
"PNC Experience","PNC Bank is a financial institution that prides itself on achievement.Everyone strives to ensure client short and long term goals are met.","Financial Sales Consultant","Current Employee","Atlanta, GA","October 20, 2015","3.0"
"Don't expect a big pay","Worked there for almost 2 years with only a 30 cents raise..The manager there only cares about themselves and not the lower employee. Even if you work hard you won't get awarded for it.","Teller","Former Employee","MI","October 19, 2015","2.0"
"Great flexibility","Company is great in terms of flexibility with work from home and flex days. Good teams and management. Processes established to complete tasks are somewhat cumbersome at times, and make it difficult to be successful. Overall the people and organization care about the employees and maintaining work-life balance.","Technical Resource","Former Employee","Ohio","October 19, 2015","4.0"
"Great place to work.","Have worked here for 3 years, find it interesting and always a challenge.  Management is great and the employee benefits are great.","BA IV at PNC Mortgage","Current Employee","Miamisburg, Ohio","October 19, 2015","4.0"
"Management in the branch is awesome, but any management higher than that are very bad.","PNC is one of the lowest paying banks. They need to keep up with other banks and come up with a better competitive pay. Benefits is expensive. Branch managers are great, they care about their workers, but it's the Higher management who don't seem to care about the employees. They are just looking out for themselves. They just care about the numbers. Very product pusher! I don't like it at all.","Teller","Current Employee","Holland, MI","October 18, 2015","1.0"
"Good team","I like the people I work with.  They're a strong team.  Job itself could be better.  Don't get paid enough for the pressure you're under constantly.","Teller","Current Employee","Hermitage, PA","October 18, 2015","3.0"
"greay environment. friendly people","I enjoyed the interaction between myself and the guests. They were friendly and I had a great teller supervisor and general manager. I would definitely recommend this position to anyone.","Part Time bank Teller","Former Employee","Cincinnati, OH","October 18, 2015","4.0"
"Great people, declining comp/benefits","Compensation is below industry standards in some areas.  Good benefits.  Room for advancement but frequent restructures with layoffs.","HR","Current Employee","Indianapolis, IN","October 18, 2015","4.0"
"Kind of negative","management didn't know how to realte to it's employees. so, employees alway felt disconnected from managers. Pay was not the best either.","Licensed Financial Specialist","Former Employee","Fort Wayne, IN","October 17, 2015","4.0"
"Great work-life balance & management","Really fantastic work life balance, management is typically very down to earth and helpful. People genuinely care about your success in your role, ranging from upper management to peers. The only suggestion I would make would be to avoid this role if you are used to a traditional banking background. The new universal banker role is very much sales driven, and those uncomfortable with warm calling and sales quotas will not enjoy working here.","Universal Banker","Current Employee","Town and Country, MO","October 17, 2015","5.0"
"A great place to work","PNC Bank has been a great place for me to work. They have provided me with great job security and the people I work with in my local branch are wonderful.","Financial Sales Consultant","Current Employee","Lansing, MI","October 16, 2015","4.0"
"Sales and service","PNC was an amazing place to work, I enjoyed all of my 2 years with the company. The staff members at my branch were such a great team to work with and the customers were so kind.  I really enjoyed the location in the heart of downtown DC.","Customer Sales Representative","Former Employee","Washington, DC","October 15, 2015","4.0"
"customer service","I'm  always giving great customer service  and making clients feel special. I love to prioritized my morning, so it will be less stress to complete my job for the day.","None","None","Handling (Current Employee)","n/a","5.0"
"A lot of work and not a lot of pay","Good company to work for. There is good branch level management support. Stress on hitting numbers but for the most part goal's are achievable. Good team environment. strong customer service focus. Easy to get answers to questions or issues you might not know how to solve.","Branch Financial Sales Consultant","Current Employee","Toledo, OH","October 14, 2015","3.0"
"*","Great team to work with. Overall work/life balance was sufficient.  Hardest was lack of support and communication at times.","Supervisor II","Current Employee","Rocky Mount, NC","October 14, 2015","3.0"
"Great place to work!!","I learn something new everyday from my manager or co-workers and most of all my customers.
I leave at the end of the day knowing that I've made a positive difference in their lives.","Teller","Current Employee","Lumberton, NJ","October 14, 2015","5.0"
"Great work/life balance, really friendly environment","Worked at PNC as an intern for 3 months.
 People are always willing to help.
 Great work/life balance.
 Great management.
 Really close relationship between co-workers.","Quantitative Intern","Former Employee","Wilmington, DE","October 13, 2015","5.0"
"Energetic andeventful","PNC is a great place to work. The company is quick to show they care for their employees. Also benefits are well price pointed for employees","Customer Service Representative","Former Employee","Poland, OH","October 13, 2015","4.0"
"Not the best company to work for","Every man for him self type of atmosphere due to the fact goals have to be hit, training of new employees is really unorganized","Universal Branch Consultant","Current Employee","Chicago, IL","October 13, 2015","2.0"
"Productive workplace.","Great coworkers and managers. A very small town banking feel but on a nationwide scale. Learn about customer service skills and banking skills.","Branch Financial Sales Consultant","Former Employee","Shelby, OH","October 12, 2015","5.0"
"The Work Culture is Fun!","I left to attend to a family matter, which is resolving very well.  
 The training staff at PNC Bank are actually quite intelligent, and entertaining.","Professional customer service","Former Employee","Pittsburgh, PA","October 11, 2015","5.0"
"Not complicated work, lots of work","Not a lot of complicated tasks but busy the entire day.  Hard to move around without leaving the department. A lot of work expected in one day.","IRA OPERATIONS CUSTOMER SERVICES REPRESENTATIVE II","Current Employee","Pittsburgh, PA","October 11, 2015","4.0"
"Supportive and fun place to wor","PNC bank is a very nice place to work, there goals are reasonable and management are very supportive by helping us succeed with our career at PNC.","Universal Banker","Current Employee","Deerfield, IL","October 10, 2015","4.0"
"Good career opportunities, but continually changing focuses","Great company with good career opportunities (if you are in the correct location). The company seems to continually change focuses and it is tough to make long term plans because there are continual changes in management with new directives.","Senior Manager","Current Employee","Noblesville, IN","October 8, 2015","4.0"
"PNC Retail Bank","Basic Branch Manager Function. Company is Human Sigma and Customer Service focused. I have learned value of performance managing sales performance for overall sales out comes.","Branch Manager II AVP","Former Employee","Chicago, IL","October 7, 2015","5.0"
"With a Degree lots of room to move within","Most management are great and really incurage your development. They push you to achieve the best and make the most out of yourself. The best is being able to work with colleagues and learn from them hands on.","Financial Sales Consultant","Current Employee","Martin, MI","October 7, 2015","3.0"
"Management","Each region with PNC bank has its own management, that are great at what they do and allow advancement for their employees.","Customer Service Associate","Current Employee","Olney, MD","October 7, 2015","4.0"
"It's a bank.","It was customer service.  At a bank.  There is training and then you work.  Then re-training when the rules change.  I loved helping people.  I hated the red tape and rules designed to hinder helping people.","Product Sales","Former Employee","Pittsburgh, PA","October 7, 2015","3.0"
"Motivated and professional","PNC required excellence in the workplace and properly trained and motivated their employees to meet their expectations.","Core Services Consultant","Current Employee","Whitehall, OH","October 6, 2015","5.0"
"Expanded my banking and loan documentation expertise","During my tenure, I have had the opportunity to learn more about the banking line of business, and the loan documentation process.
 The most enjoyable part of my job has to be the people I work with, and the chance to share my knowledge with others.","Credit Administrator","Current Employee","Cleveland, Ohio","October 6, 2015","4.0"
"Teller","No room for advancement.  Terrible pay and benefits.  Other financial institutions are better to work for than PNC, try them before coming to this company.","Head Teller","Former Employee","Charlotte Hall, MD","October 6, 2015","1.0"
"Just a number","Excellent company, Great Staff, but your just a number in the large banking world.   A lot of travel. Excellent ability to learn.","Universal Branch Consultant","Former Employee","Fair Haven","October 5, 2015","5.0"
"I wouldn't do it","I worked for this company and have to say horrible experience I wasn't with the company a month before being fired the manager who hired me quit while I was in training and when the new manager came in she fired me I wouldn't work for PNC in Birmingham Alabama period you've been warned","Financial sales consultant","Former Employee","Bessemer","October 5, 2015","1.0"
"Good company to work for","Enjoyed my time at PNC, Due to the smaller workload in our department, was displaced.
Typical day was looking at 2 displays and paying the invoices required.
Co-workers were fun to work with.","Invoice Processor","Former Employee","Miamisburg, OH","October 5, 2015","4.0"
"Great place for opportunity","Alot of variety in day to day activity. People are good to work with. Management supports growth potential. Good company to work for","Team Leader","Former Employee","philadelphia pa","October 5, 2015","5.0"
"Great Job","Worked with Marketing Dept, to drive traffic into to bank branch locations to open new bank accounts. Hired 8-12 brand ambassadors to help drive traffic.","Field Manager","Former Employee","Columbus, OH","October 5, 2015","4.0"
"Some Managers are uneducated in technology","Some Managers are too dependent on technical people and very uneducated in technology. The managers are depending too much on the technical people and delegating too much, so the manager does whatever the technical people say. So in reality the developers have more power than the manager.","NET developer","Current Employee","Pittsburgh, PA","October 5, 2015","3.0"
"Manage employees at a branch to make banking easier for customers","A development program with supportive management to help you grow and develop into a manager. Several training sessions to help teach about different aspects of banking and the different products and services that the company has to offer.","Branch Manager Trainee Program","Current Employee","Cincinnati, OH","October 4, 2015","4.0"
"PNC Review","there are few words to describe this position, you have to experience it yourself to understand. there truly are not many more words to say","Customer Care Center Outbound Sales","Current Employee","Pittsburgh, PA","October 4, 2015","5.0"
"Fun place to work","fun place to work but there are to many changes to frequently. good management. good co workers. good experience. pays low.","Customer Service Associate","Current Employee","Centreville, VA","October 4, 2015","3.0"
"Good place to work","Really focused on customer service, really cared about their customers. Incentive pays are good for good quarters. Lots of rewards and recognition. My manager was great, coworkers are nice and friendly, my mentor was very helpful and experiences. Maintain good customer service is hard, weekly customer service survey can be stressful.","Financial Sales Consultant","Former Employee","Illinois","October 3, 2015","5.0"
"Sales","When it comes to an open friendly environment to work in PNC is definitely that. Advancement opportunities are not the best, due to the bank being new to the market. Bonuses were not worth it. One could work like crazy and not recieve what their worth.","Financial Sales Consultant","Former Employee","Chicago, IL","October 3, 2015","3.0"
"Downtown Pittsburgh","PNC Bank is a huge operation. Our section with Global Investment Services managed mutual funds which specifically involved preparing Form 1120-RICs and footnote disclosures for their annual reports.  PNC decided to open a global investment service section in Pittsburgh in 2008, but then decided to close the entire operation in 2009.  
 They told us that these jobs which were mostly based on the East Coast (Philadelphia and Boston) were ideal for Pittsburgh, but they abruptly had a change of heart and let go our entire floor, roughly 100 workers.  
 Regulated investment companies was an short stop during my 25 years of work experience.  It wasn't a bad position, but the daily commute to downtown Pittsburgh was typically a 3 hour time period each day, both ways.  The parking and food was quite expensive and the traffic/construction/accidents/weather/special events did present some challenges along the way.
 My manager was among my all-time favorites and my co-workers were very smart and devoted to our responsibilities.","Senior Tax Analyst","Former Employee","Pittsburgh, PA","October 2, 2015","2.0"
"I was a Data Entry Clerk and process payments.","I enjoyed this fast-paced position as a data entry clerk.  The job was exciting with the high volume of receivables to process on daily basis.","Senior Operations Specialist","Former Employee","Moorestown, NJ","October 2, 2015","5.0"
"Productive, fun, and warm environment","Imagine fun and working at the same time.....impossible, right?
 PNC Eastwick center was great. On site lunchroom (not free), on site daycare for emergencies (pretty sure it wasn't free), free parking in a huge lot, near the airport, near 95 and major roads, shuttle picks up employees and takes them to the nearby train (free), etc. As for the work, all the employees are so happy and willing to help and the management was terrific.","None","None","Data Entry Representative (Former Employee)","Eastwick, PA","5.0"
"Fun and enjoyable place to work","Fellow employees are always willing to assist others and maybe the job fun.  I enjoy assisting customer with their banking needs.","Bank Teller","Current Employee","Canton, Mi and Frankenmuth, mi","October 1, 2015","3.0"
"productive fun place.","great place to work. Hours are horrible. great team. GREAT manager. really easy to learn and stay productive.
 coworkers are friendly. Hardest part about the job is the horrible hours.","Human Resources Recruiting Administrator","Current Employee","highland hills ohio","September 29, 2015","4.0"
"Great place to get experience","Overall, I enjoyed my experience very my at PNCI.  My direct manager was easily the best in my career.  Upper management doesn't seem to value advisors, considering them as replaceable cogs.","Financial Advisor","Current Employee","44118","September 29, 2015","4.0"
"It was okay","ona regular day you would be answering phone calls concerning PNC account holders about overdraft refunds, balances, online banking or any other type of banking question. I've learned a lot about everyday banking and step to prevent an overdraft from occuring. The co workers are amazing and are the most help when it comes to questions, whereas I found it very difficult to find a manager to answer questions or take an escalated phone call. But it pays very well and the hours are decent, plus you have every holiday off. The only downside is you have to be okay with hear customers cry or yell on the phone while still denying their request but if you can get over that your perfect.","Call Center Representative","Former Employee","Pittsburgh, PA","September 29, 2015","3.0"
"High turnover, questionable practices","In 2014 PNC hired 700 new employees, within 12 months 600 of them were gone. Experienced many questionable practices, particularly with Quality scoring, which I saw as their was as knocking down the bonus one qualified for.   Coaches are young and over the top arrogant, not in the least bit constructive, if anything,  they drove down moral;  management seemed to have their back all the way, no matter what. The supervisor I worked under was noticeably insecure and gravitated to the brown nosers, leadership skills were very almost no existent.  Daily Quick Start's (15 min meetings) were welcomed because they gave a moment of relief from being on the phones, sadly the Quick Starts became as daunting as being on the phones because all they were about was applauding for the  top performers followed up by a pressure to raise the bar. In order to drive you, you're scores would be posted for everyone to see where you stood in the pecking order. There were lot's  of contests to help drive you and ongoing pot lucks. Be prepared to donate, donate, donate. And if you're not the type to run around to be ""In a click"", then you were going to be seen as an outsider. Overall PNC struck me as a very paranoid  and oppressive organization, top-down. I'm all for hard work, but not having the life sucked out of me.","Multi Channel Customer Service","Former Employee","Kalamazoo, MI","September 29, 2015","2.0"
"Productive, Fun, Friendly","I answered questions/concerns about bank accounts
mailed out lost, stolen, and damaged bank cards
filed disputes and complaints for customers
Everyone there was very welcoming and friendly","Customer Service Representative","Current Employee","Columbus, OH","September 29, 2015","5.0"
